name,address,manager,phone,fax,street,city,zip,province,id,address_original,llaccuracy,lat,lng,zipmatch,ziplat,ziplng,fsa
ALDERGROVE COMMUNITY PHARMACY,"106 - 27105 Fraser Hwy, Aldergrove, BC  V4W 3R2, Canada",Jane Lyons,(604) 607-7404,(604) 607-7454,106 - 27105 Fraser Hwy,Aldergrove,V4W 3R2,BC,12,"106 - 27105 Fraser Hwy
Aldergrove, BC  V4W 3R2
CANADA",0.33,59.785092,-134.944639,false,49.0691909915976,-122.502340746887,V4W
ALDERGROVE PHARMACHOICE,"#120 - 3113 272 St, Aldergrove, BC  V4W 3R9, Canada",Pavandeep Sarohia,(604) 625-3784,(604) 625-3785,#120 - 3113 272 St,Aldergrove,V4W 3R9,BC,13,"#120 - 3113 272 St
Aldergrove, BC  V4W 3R9
CANADA",0.9,49.059278,-122.471183,true,49.0691909915976,-122.502340746887,V4W
ALERT BAY DRUGS,"90 Fir Street
Box 306, Alert Bay, BC  V0N 1A0, Canada",Paul Fletcher,(250) 974-5712,(250) 974-2199,"90 Fir Street
Box 306",Alert Bay,V0N 1A0,BC,14,"90 Fir Street
Box 306
Alert Bay, BC  V0N 1A0
CANADA",0.5,50.577234,-126.915144,true,50.2542502949516,-124.686309260507,V0N
ALL CARE PHARMACY,"101 - 12827 76 Ave, Surrey, BC  V3W 2V3, Canada",Achal Jain,(778) 592-2500,(778) 592-2501,101 - 12827 76 Ave,Surrey,V3W 2V3,BC,15,"101 - 12827 76 Ave
Surrey, BC  V3W 2V3
CANADA",0.5,49.140937,-122.773234,false,49.1410042095061,-122.856837478998,V3W
ALLIANCE PHARMACY GROUP,"#165 - 21320 Gordon Way, Richmond, BC  V6W 1J8, Canada",Yoko Chen,(604) 370-1999,(604) 370-2030,#165 - 21320 Gordon Way,Richmond,V6W 1J8,BC,16,"#165 - 21320 Gordon Way
Richmond, BC  V6W 1J8
CANADA",0.5,49.167398,-122.988422,true,49.1546181747147,-123.050841826166,V6W
ALOUETTE PHARMACY,"8 - 11937 227 St, Maple Ridge, BC  V2X 6J4, Canada",Michael Damjanovic,(604) 467-3784,(604) 467-3714,8 - 11937 227 St,Maple Ridge,V2X 6J4,BC,17,"8 - 11937 227 St
Maple Ridge, BC  V2X 6J4
CANADA",0.5,49.232972,-122.593763,true,49.2197678565818,-122.615084831127,V2X
ALPINE DRUG MART IDA,"2060 Columbia Ave.
Box 940, Rossland, BC  V0G 1Y0, Canada",Catherine Sahlstrom,(250) 362-5622,(250) 362-5151,"2060 Columbia Ave.
Box 940",Rossland,V0G 1Y0,BC,18,"2060 Columbia Ave.
Box 940
Rossland, BC  V0G 1Y0
CANADA",0.5,49.077394,-117.807014,true,50.0506034584817,-117.415076100119,V0G
ANCHOR COMPOUNDING PHARMACY,"105 - 1450 Waddington Rd, Nanaimo, BC  V9S 4V9, Canada",Rana Ullah,(250) 591-4411,(250) 591-4011,105 - 1450 Waddington Rd,Nanaimo,V9S 4V9,BC,19,"105 - 1450 Waddington Rd
Nanaimo, BC  V9S 4V9
CANADA",0.5,49.187112,-123.962622,true,49.1894387656933,-123.963586439922,V9S
ANDERSON'S PHARMACY NO. 1,"127 3rd St W, North Vancouver, BC  V7M 1E7, Canada",Maria Kwong,(604) 988-5271,(604) 998-1271,127 3rd St W,North Vancouver,V7M 1E7,BC,20,"127 3rd St W
North Vancouver, BC  V7M 1E7
CANADA",0.4,49.320258,-123.107836,false,49.3224863139342,-123.084865113587,V7M
ANDREEN'S PHARMACY,"101 - 879 Anders Road, West Kelowna, BC  V1Z 1K2, Canada",Haley Williams,(250) 769-2014,(250) 769-2054,101 - 879 Anders Road,West Kelowna,V1Z 1K2,BC,21,"101 - 879 Anders Road
West Kelowna, BC  V1Z 1K2
CANADA",0.9,49.860072,-119.551296,true,49.9151554494601,-119.741065669258,V1Z
ANITA'S PHARMACY,"4343 Hastings St E, Burnaby, BC  V5C 2J7, Canada",Anita Jalzabetic-Maravic,(604) 294-4341,(604) 294-4373,4343 Hastings St E,Burnaby,V5C 2J7,BC,22,"4343 Hastings St E
Burnaby, BC  V5C 2J7
CANADA",0.5,49.280985,-122.997475,true,49.2766738428469,-123.007422486654,V5C
ARMSTRONG PHARMACY AND WELLNESS CENTRE,"#5 - 3300 Smith Drive, Armstrong, BC  V0E 1B1, Canada",David Zucker,(250) 546-3195,(250) 546-3894,#5 - 3300 Smith Drive,Armstrong,V0E 1B1,BC,23,"#5 - 3300 Smith Drive
Armstrong, BC  V0E 1B1
CANADA",0.5,50.448974,-119.184324,true,51.4168725403139,-119.196569753959,V0E
ASHCROFT IDA PHARMACY,"400 - 210 Railway Ave.
Box 1060, Ashcroft, BC  V0K 1A0, Canada",Victor Ikari,(250) 453-2553,(250) 453-2404,"400 - 210 Railway Ave.
Box 1060",Ashcroft,V0K 1A0,BC,24,"400 - 210 Railway Ave.
Box 1060
Ashcroft, BC  V0K 1A0
CANADA",0.5,50.720988,-121.280406,true,51.1250429917333,-121.615589609579,V0K
ASKEW'S PHARMACY,"2701 11 Ave NE, Salmon Arm, BC  V1E 2S3, Canada",Darlene Ogilvie,(250) 832-7655,(250) 832-7656,2701 11 Ave NE,Salmon Arm,V1E 2S3,BC,25,"2701 11 Ave NE
Salmon Arm, BC  V1E 2S3
CANADA",0.5,50.737506,-119.271692,true,50.6638047926748,-119.335942934138,V1E
ASPEN REMEDY'SRX PHARMACY,"102 - 2099 152 St, Surrey, BC  V4A 4N7, Canada",Liuna Liu,(604) 560-2720,(604) 560-2722,102 - 2099 152 St,Surrey,V4A 4N7,BC,26,"102 - 2099 152 St
Surrey, BC  V4A 4N7
CANADA",0.5,49.038359,-122.799908,true,49.0385145601477,-122.83110874713,V4A
BAHR'S PHARMACY,"888 Pandora Ave, Victoria, BC  V8W 1P4, Canada",Kaeli Cecchetto,(250) 380-2212,(250) 380-4959,888 Pandora Ave,Victoria,V8W 1P4,BC,27,"888 Pandora Ave
Victoria, BC  V8W 1P4
CANADA",0.5,48.426922,-123.347157,false,48.4276915425061,-123.364360876863,V8W
BAINS PHARMACY LTD.,"8681 120 St, Delta, BC  V4C 6R4, Canada",Gursaran Bains,(604) 543-0911,(604) 507-0988,8681 120 St,Delta,V4C 6R4,BC,28,"8681 120 St
Delta, BC  V4C 6R4
CANADA",0.5,49.150454,-122.89155,true,49.1562750066271,-122.910958159732,V4C
BALANCED HEALTH INTEGRATIVE PHARMACY,"102 - 88 Lonsdale Ave, North Vancouver, BC  V7M 2E6, Canada",Peter Lee,(604) 971-4075,(604) 971-4074,102 - 88 Lonsdale Ave,North Vancouver,V7M 2E6,BC,29,"102 - 88 Lonsdale Ave
North Vancouver, BC  V7M 2E6
CANADA",0.5,49.321018,-123.072348,false,49.3224863139342,-123.084865113587,V7M
BARRY'S DRUG MART,"1685 Peninsula Rd
Box 400, Ucluelet, BC  V0R 3A0, Canada",Venkateswara Sajja,(250) 726-4342,(250) 726-2760,"1685 Peninsula Rd
Box 400",Ucluelet,V0R 3A0,BC,30,"1685 Peninsula Rd
Box 400
Ucluelet, BC  V0R 3A0
CANADA",0.5,48.940769,-125.545235,true,49.1018732261652,-125.019665241326,V0R
BAY PHARMACY,"6355 Bruce St, West Vancouver, BC  V7W 2G5, Canada",Maie Naser,(604) 305-0330,(604) 281-0330,6355 Bruce St,West Vancouver,V7W 2G5,BC,31,"6355 Bruce St
West Vancouver, BC  V7W 2G5
CANADA",0.5,49.373711,-123.274942,true,49.4633666350546,-122.85086737988,V7W
BAYSHORE PHARMACY,"206 - 2828 152 St, Surrey, BC  V4P 1G6, Canada",Hani Al-Tabbaa,1-855-237-2473,1-855-233-3146,206 - 2828 152 St,Surrey,V4P 1G6,BC,32,"206 - 2828 152 St
Surrey, BC  V4P 1G6
CANADA",0.5,49.038359,-122.799908,false,49.055224302297,-122.828060602292,V4P
BC DRUGS PHARMACY,"9618 Cameron St, Burnaby, BC  V3J 1M2, Canada",Patty Wang,(604) 422-8216,(604) 422-8221,9618 Cameron St,Burnaby,V3J 1M2,BC,33,"9618 Cameron St
Burnaby, BC  V3J 1M2
CANADA",0.5,49.253399,-122.892914,true,49.2598783496103,-122.859911962369,V3J
BELL PHARMACY,"10519 King George Blvd, Surrey, BC  V3T 2X1, Canada",Binda Dasondi,(604) 585-3355,(604) 585-3350,10519 King George Blvd,Surrey,V3T 2X1,BC,34,"10519 King George Blvd
Surrey, BC  V3T 2X1
CANADA",0.5,49.152089,-122.841664,false,49.190394728448,-122.848462790325,V3T
BEST CARE PHARMACY,"101 - 12181 Harris Rd, Pitt Meadows, BC  V3Y 2E9, Canada",Sandeep Nimmagadda,(604) 262-4949,(604) 398-4937,101 - 12181 Harris Rd,Pitt Meadows,V3Y 2E9,BC,35,"101 - 12181 Harris Rd
Pitt Meadows, BC  V3Y 2E9
CANADA",0.5,49.267685,-122.689284,true,49.2716830855706,-122.663769483441,V3Y
BETA PHARMACY,"4705A Hastings St, Burnaby, BC  V5C 2K8, Canada",Yuan Ping Liang,(604) 299-6004,(604) 299-5004,4705A Hastings St,Burnaby,V5C 2K8,BC,36,"4705A Hastings St
Burnaby, BC  V5C 2K8
CANADA",0.5,49.280985,-122.997475,true,49.2766738428469,-123.007422486654,V5C
BETTER ME PHARMACY,"1570 George St, White Rock, BC  V4B 4A5, Canada",Amihy Tavor,(778) 545-3700,(778) 545-3701,1570 George St,White Rock,V4B 4A5,BC,37,"1570 George St
White Rock, BC  V4B 4A5
CANADA",0.5,49.027553,-122.799747,true,49.025763880178,-122.805857270246,V4B
BEYOND PHARMACY,"#101 - 19211 Fraser Hwy, Surrey, BC  V3S 7C9, Canada",Simranjit Sidhu,(604) 245-6069,(604) 245-6102,#101 - 19211 Fraser Hwy,Surrey,V3S 7C9,BC,38,"#101 - 19211 Fraser Hwy
Surrey, BC  V3S 7C9
CANADA",0.33,49.10635,-122.82509,false,49.117611016862,-122.754853365374,V3S
BIOPRO BIOLOGICS PHARMACY,"845 Broadway W, Vancouver, BC  V5Z 1J9, Canada",Alan Low,(778) 379-8161,(778) 379-8160,845 Broadway W,Vancouver,V5Z 1J9,BC,39,"845 Broadway W
Vancouver, BC  V5Z 1J9
CANADA",0.4,49.262639,-123.096001,false,49.247477087961,-123.121233343796,V5Z
BIOSCRIPT PHARMACY LTD.,"4050 - 8171 Ackroyd Rd, Richmond, BC  V6X 3K1, Canada",Calvin Chan,(604) 214-3784,(604) 244-3784,4050 - 8171 Ackroyd Rd,Richmond,V6X 3K1,BC,40,"4050 - 8171 Ackroyd Rd
Richmond, BC  V6X 3K1
CANADA",0.5,49.172018,-123.136467,true,49.1863745873366,-123.111677711377,V6X
BIOSENSE COMPOUNDING PHARMACY,"145 - 13988 Maycrest Way, Richmond, BC  V6V 3C3, Canada",David Fung,(604) 278-7955,(604) 278-7960,145 - 13988 Maycrest Way,Richmond,V6V 3C3,BC,41,"145 - 13988 Maycrest Way
Richmond, BC  V6V 3C3
CANADA",0.5,49.179555,-123.071441,true,49.1849260491598,-123.031056110956,V6V
BLACK'S PHARMACY,"2037 Quilchena Ave.
PO Box 35, Merritt, BC  V1K 1B8, Canada",Blaine Martens,(250) 378-2155,(250) 378-4884,"2037 Quilchena Ave.
PO Box 35",Merritt,V1K 1B8,BC,42,"2037 Quilchena Ave.
PO Box 35
Merritt, BC  V1K 1B8
CANADA",0.5,50.1102,-120.789491,true,49.9559131791466,-120.941922943948,V1K
BLUERIDGE PHARMACY,"101 - 30461 Blueridge Dr, Abbotsford, BC  V2T 0B1, Canada",Hardeep Khabra,(604) 855-5075,(604) 855-5375,101 - 30461 Blueridge Dr,Abbotsford,V2T 0B1,BC,43,"101 - 30461 Blueridge Dr
Abbotsford, BC  V2T 0B1
CANADA",0.5,49.067104,-122.345171,true,49.0391641015515,-122.347843226749,V2T
BOND STREET PHARMACY,"609 East Broadway, Vancouver, BC  V5T 1X7, Canada",Diamondali Tejani,(604) 874-4755,(604) 874-4788,609 East Broadway,Vancouver,V5T 1X7,BC,44,"609 East Broadway
Vancouver, BC  V5T 1X7
CANADA",0.3,49.262639,-123.096001,true,49.2634062814553,-123.090819401467,V5T
BONSOR PHARMACY,"#107 - 6411 Nelson Avenue, Burnaby, BC  V5H 4H3, Canada",Azmina Jiwa,(604) 431-8877,(604) 430-4700,#107 - 6411 Nelson Avenue,Burnaby,V5H 4H3,BC,45,"#107 - 6411 Nelson Avenue
Burnaby, BC  V5H 4H3
CANADA",0.5,49.229924,-122.994201,true,49.2287120398404,-122.996471986297,V5H
BOOMER DRUGS,"8574 Granville St, Vancouver, BC  V6P 4Z7, Canada",Barry Jay,(604) 266-9010,(604) 568-9838,8574 Granville St,Vancouver,V6P 4Z7,BC,46,"8574 Granville St
Vancouver, BC  V6P 4Z7
CANADA",0.5,49.219898,-123.140105,true,49.2151894721799,-123.139811386092,V6P
BOUNDARY PHARMACY - SURREY,"1673 - 128 Street, Surrey, BC  V4A 3V2, Canada",Crispian Bennett,(604) 345-7973,604-385-3011,1673 - 128 Street,Surrey,V4A 3V2,BC,47,"1673 - 128 Street
Surrey, BC  V4A 3V2
CANADA",0.33,49.10635,-122.82509,false,49.0385145601477,-122.83110874713,V4A
BRENTWOOD PHARMACY,"4451 Lougheed Hwy, Burnaby, BC  V5C 3Z2, Canada",Layla Akbari,(604) 564-3334,(604) 564-3335,4451 Lougheed Hwy,Burnaby,V5C 3Z2,BC,48,"4451 Lougheed Hwy
Burnaby, BC  V5C 3Z2
CANADA",0.33,49.26636,-122.95263,false,49.2766738428469,-123.007422486654,V5C
BRIDGEVIEW PHARMACY,"105 - 11267 125A St, Surrey, BC  V3V 8C5, Canada",Pardeep Sandhu,(778) 293-4402,(778) 293-4403,105 - 11267 125A St,Surrey,V3V 8C5,BC,49,"105 - 11267 125A St
Surrey, BC  V3V 8C5
CANADA",0.5,49.047077,-122.875286,false,49.1831831533584,-122.876242276909,V3V
BROADWAY PHARMASAVE #73,"101 - 2025 West Broadway, Vancouver, BC  V6J 1Z6, Canada",Holly Chen,(604) 737-2025,(604) 737-2046,101 - 2025 West Broadway,Vancouver,V6J 1Z6,BC,50,"101 - 2025 West Broadway
Vancouver, BC  V6J 1Z6
CANADA",0.9,49.264084,-123.151229,true,49.261004720363,-123.145479801502,V6J
BROOKSWOOD REMEDY'S RX PHARMACY #2,"105-4061 200th St, Langley, BC  V3A 1K8, Canada",Shrief Ahmed,(604) 427-4377,(604) 427-4378,105-4061 200th St,Langley,V3A 1K8,BC,51,"105-4061 200th St
Langley, BC  V3A 1K8
CANADA",0.8,49.076129,-122.67036,true,49.0938916038864,-122.647453561111,V3A
BROOKSWOOD REMEDY'SRX,"100 - 20103 40 Ave, Langley, BC  V3A 2W3, Canada",Ahmed Zaiton,(604) 427-2140,(604) 427-2141,100 - 20103 40 Ave,Langley,V3A 2W3,BC,52,"100 - 20103 40 Ave
Langley, BC  V3A 2W3
CANADA",0.9,49.075217,-122.666538,true,49.0938916038864,-122.647453561111,V3A
BULA PHARMACY,"33634 Busby Rd, Abbotsford, BC  V2S 1V2, Canada",Nandakumar Sambandam,(604) 850-2588,(604) 850-3528,33634 Busby Rd,Abbotsford,V2S 1V2,BC,53,"33634 Busby Rd
Abbotsford, BC  V2S 1V2
CANADA",0.5,49.043287,-122.290711,true,49.0397175093707,-122.285383962384,V2S
BURKE MOUNTAIN PHARMACY,"110 - 1465 Salisbury Ave, Port Coquitlam, BC  V3B 6J3, Canada",Emad Habib,(604) 941-5575,(604) 941-5576,110 - 1465 Salisbury Ave,Port Coquitlam,V3B 6J3,BC,54,"110 - 1465 Salisbury Ave
Port Coquitlam, BC  V3B 6J3
CANADA",0.5,49.272436,-122.771733,true,49.2724993577282,-122.756523735201,V3B
BURNABY SQUARE PRESCRIPTIONS,"#107 - 7885 6th St, Burnaby, BC  V3N 3N4, Canada",Parmendra Narayan,(604) 523-1400,(604) 523-1404,#107 - 7885 6th St,Burnaby,V3N 3N4,BC,55,"#107 - 7885 6th St
Burnaby, BC  V3N 3N4
CANADA",0.5,49.223174,-122.932914,true,49.2264196469916,-122.930978717438,V3N
C.R.C. DRUGS,"180 - 6971 Elmbridge Way, Richmond, BC  V7C 0A5, Canada",Meng Zhen Yu,(604) 285-2555,(604) 285-2556,180 - 6971 Elmbridge Way,Richmond,V7C 0A5,BC,56,"180 - 6971 Elmbridge Way
Richmond, BC  V7C 0A5
CANADA",0.5,49.172955,-123.14783,true,49.1626286600974,-123.172127771816,V7C
CALEA PHARMACY,"#130 - 8061 Lougheed Hwy, Burnaby, BC  V5A 1W9, Canada",Deanna Koo,(604) 294-1500,(604) 299-3940,#130 - 8061 Lougheed Hwy,Burnaby,V5A 1W9,BC,57,"#130 - 8061 Lougheed Hwy
Burnaby, BC  V5A 1W9
CANADA",0.33,49.26636,-122.95263,true,49.2687688423682,-122.929926374963,V5A
CAMBIE PHARMASAVE,"4054 Cambie St, Vancouver, BC  V5Z 2X8, Canada",Nelli Jakac,(604) 873-9277,(604) 873-9270,4054 Cambie St,Vancouver,V5Z 2X8,BC,58,"4054 Cambie St
Vancouver, BC  V5Z 2X8
CANADA",0.5,49.269616,-123.114817,true,49.247477087961,-123.121233343796,V5Z
CAMPBELL RIVER HEALTH & DRUG STORE,"Unit B1B - 465 Merecroft Rd, Campbell River, BC  V9W 6K6, Canada",Joe Myers,(250) 286-1771,(250) 286-4662,Unit B1B - 465 Merecroft Rd,Campbell River,V9W 6K6,BC,59,"Unit B1B - 465 Merecroft Rd
Campbell River, BC  V9W 6K6
CANADA",1.0,50.01634,-125.24459,true,50.0290593358842,-125.312111889001,V9W
CANADAWIDE PHARMACY,"#102 - 15129 100 Ave, Surrey, BC  V3R 9P4, Canada",Yasir Mohamed,(604) 581-4000,(604) 581-4187,#102 - 15129 100 Ave,Surrey,V3R 9P4,BC,60,"#102 - 15129 100 Ave
Surrey, BC  V3R 9P4
CANADA",0.5,49.184202,-122.812078,true,49.1963107379805,-122.824169757623,V3R
CANDRUG,"#202 - 8322 130 St, Surrey, BC  V3W 8J9, Canada",Mohammed Hassan,(604) 543-8711,(604) 507-8706,#202 - 8322 130 St,Surrey,V3W 8J9,BC,61,"#202 - 8322 130 St
Surrey, BC  V3W 8J9
CANADA",0.5,49.185612,-122.861874,false,49.1410042095061,-122.856837478998,V3W
CANPHARM DRUGS,"5853 Victoria Drive, Vancouver, BC  V5P 3W5, Canada",Stephen Pang,(604) 321-5133,(604) 324-4510,5853 Victoria Drive,Vancouver,V5P 3W5,BC,62,"5853 Victoria Drive
Vancouver, BC  V5P 3W5
CANADA",0.5,49.27706,-123.065614,false,49.223596351092,-123.067835340981,V5P
CAPITOL HILL PHARMACY REMEDY'S RX,"4655 Hastings St, Burnaby, BC  V5C 2K6, Canada",Samuel Opoku,(604) 299-9255,(604) 299-9257,4655 Hastings St,Burnaby,V5C 2K6,BC,63,"4655 Hastings St
Burnaby, BC  V5C 2K6
CANADA",0.5,49.280985,-122.997475,true,49.2766738428469,-123.007422486654,V5C
CARE BOOST PHARMACY,"#101 - 9450 120 St, Surrey, BC  V3V 4B9, Canada",Jagjit Bangar,(604) 582-5111,(604) 582-6262,#101 - 9450 120 St,Surrey,V3V 4B9,BC,64,"#101 - 9450 120 St
Surrey, BC  V3V 4B9
CANADA",0.5,49.178077,-122.888808,true,49.1831831533584,-122.876242276909,V3V
CARE IN MOTION PHARMACY,"2 - 9880 120 St, Surrey, BC  V3V 4C9, Canada",Nagy Ellahham,(604) 496-2225,(604) 496-2234,2 - 9880 120 St,Surrey,V3V 4C9,BC,65,"2 - 9880 120 St
Surrey, BC  V3V 4C9
CANADA",0.5,49.178077,-122.888808,true,49.1831831533584,-122.876242276909,V3V
CARE IN PHARMACY,"33083 1st Ave, Mission, BC  V2V 1G2, Canada",Vishal Patel,(604) 287-2999,(604) 287-2900,33083 1st Ave,Mission,V2V 1G2,BC,66,"33083 1st Ave
Mission, BC  V2V 1G2
CANADA",0.5,49.135796,-122.288496,true,49.5571438888044,-122.475805648103,V2V
CARE N CURE PHARMACY,"177 - 8138 128 St, Surrey, BC  V3W 1R1, Canada",Kuljit Grewal,(604) 598-3233,(604) 598-3234,177 - 8138 128 St,Surrey,V3W 1R1,BC,67,"177 - 8138 128 St
Surrey, BC  V3W 1R1
CANADA",0.4,49.170794,-122.868057,false,49.1410042095061,-122.856837478998,V3W
CARERX CENTRAL ISLAND,"#1 - 4131 Mostar Rd, Nanaimo, BC  V9T 6A6, Canada",Hafeez Dossa,(250) 585-1083,(250) 585-1087,#1 - 4131 Mostar Rd,Nanaimo,V9T 6A6,BC,68,"#1 - 4131 Mostar Rd
Nanaimo, BC  V9T 6A6
CANADA",0.4,49.211505,-124.03502,true,49.2168198317584,-124.00670244362,V9T
CARERX OKANAGAN,"107 - 2714 Highway 97 N, Kelowna, BC  V1X 4J7, Canada",Wendy Letoria,(778) 940-7288,(778) 738-1698,107 - 2714 Highway 97 N,Kelowna,V1X 4J7,BC,69,"107 - 2714 Highway 97 N
Kelowna, BC  V1X 4J7
CANADA",0.5,49.885994,-119.425878,true,50.0457888438254,-119.291583751319,V1X
CARERX VANCOUVER,"108 - 930 1st St W, North Vancouver, BC  V7P 3N4, Canada",James Davis,(604) 985-8844,(604) 985-8842,108 - 930 1st St W,North Vancouver,V7P 3N4,BC,70,"108 - 930 1st St W
North Vancouver, BC  V7P 3N4
CANADA",0.4,49.313175,-123.081815,false,49.3222098212917,-123.113622357888,V7P
CARERX VICTORIA,"570 Bay St, Victoria, BC  V8T 1P9, Canada",Lienny Thio,(250) 590-3778,(778) 430-5988,570 Bay St,Victoria,V8T 1P9,BC,71,"570 Bay St
Victoria, BC  V8T 1P9
CANADA",0.9,48.436194,-123.369771,true,48.4400181576936,-123.357355323014,V8T
CAREVILLE PHARMACY FLEETWOOD,"107 - 8927 152 St, Surrey, BC  V3R 4E5, Canada",Janice Catanglan,(604) 634-1074,(604) 634-1075,107 - 8927 152 St,Surrey,V3R 4E5,BC,72,"107 - 8927 152 St
Surrey, BC  V3R 4E5
CANADA",0.5,49.038359,-122.799908,false,49.1963107379805,-122.824169757623,V3R
CAREVILLE PHARMACY UBC,"3317 Wesbrook Mall, Vancouver, BC  V6S 0B1, Canada",Dragana Kosoric,(604) 800-0223,(604) 800-0224,3317 Wesbrook Mall,Vancouver,V6S 0B1,BC,73,"3317 Wesbrook Mall
Vancouver, BC  V6S 0B1
CANADA",0.5,49.258451,-123.238577,false,49.2508143510254,-123.215501310984,V6S
CARMI REMEDY'SRX,"15 - 725 Carmi Ave, Penticton, BC  V2A 3G8, Canada",David Zamorano,(778) 476-0010,(778) 476-0944,15 - 725 Carmi Ave,Penticton,V2A 3G8,BC,74,"15 - 725 Carmi Ave
Penticton, BC  V2A 3G8
CANADA",0.5,49.483353,-119.570299,true,49.5074809335768,-119.66409208506,V2A
CASCADE PHARMACY,"Unit A - 46298 Yale Rd, Chilliwack, BC  V2P 2P6, Canada",Chandrasekar Perumal,(604) 795-6122,(604) 795-3065,Unit A - 46298 Yale Rd,Chilliwack,V2P 2P6,BC,75,"Unit A - 46298 Yale Rd
Chilliwack, BC  V2P 2P6
CANADA",0.5,49.155659,-121.815256,false,49.1806404435609,-121.900229531001,V2P
CASTLEGAR COMMUNITY PHARMACY,"1002 Columbia Ave, Castlegar, BC  V1N 1H2, Canada",Josh McPherson,(250) 365-0006,(250) 365-0036,1002 Columbia Ave,Castlegar,V1N 1H2,BC,76,"1002 Columbia Ave
Castlegar, BC  V1N 1H2
CANADA",0.5,49.316435,-117.664148,true,49.4290511624627,-117.940450925854,V1N
